question	answer	source
Quel est le nom de Mickey Mouse en italien ?	Topolino	https://en.wikipedia.org/wiki/Topolino
Quel est le nom de Donald Duck en italien ?	Paperino	https://it.wikipedia.org/wiki/Paperino
Quel est le nom du pokemon Dracaufeu en anglais ?	Charizard	https://en.wikipedia.org/wiki/Charizard
Quel est le nom du pokémon Rondoudou en allemand ?	Pummeluff	https://www.pokewiki.de/Pummeluff
Quel est le nom du pokémon Torktank en allemand ?	Turtok	https://www.pokewiki.de/Turtok
Quel est le nom du pokémon Tortank en anglais ?	Blastoise	https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon)
Quel est le nom du pokémon Ronflex en anglais ?	Snorlax	https://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon)
Quel est le nom du pokémon Ronflex en allemand ?	Relaxo	https://www.pokewiki.de/Relaxo
Quel est le nom du pokémon Miaouss en allemand ?	Mauzi	https://www.pokewiki.de/Mauzi
Quel est le nom du pokémon Miaouss en anglais ?	Meowth	https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
Quel était le slogan pour la campagne présidentielle de François Mitterrand en 1965 ?	Un président jeune pour une France moderne	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était le slogan pour la campagne présidentielle de Valérie Giscard d'Estaing en 1974 ?	La paix et la sécurité	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était l'un des slogans pour la campagne présidentielle de Lionel Jospin en 1995 ?	Avec Jospin c'est clair	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était le slogan pour la campagne présidentielle de Ségolène Royal au second tour en 2007 ?	La France Présidente	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était l'un des slogans pour la campagne présidentielle de José Bové en 2007 ?	Osez Bové	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était le slogan pour la campagne de Jacques Chirac aux élections municipales de Paris en 1977 ?	Chirac pour Paris	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était le slogan de Vittel publié en 1979 ?	Buvez, éliminez	https://www.strategies.fr/actualites/marques/r14504W/vittel-retour-a-la-source.html
Quel était le slogan de Kiri apparaissant pour la première fois à la télévision française en 1969 ?	Le fromage des gastronomes en culottes courtes	https://www.ribambel.com/kiri/notre-marque/la-saga-kiri
Quel est le slogan français de Coca-Cola publié en 2021 ?	Ouvre du Ahhhh	https://www.coca-cola-france.fr/communiques-de-presse/coca-cola-presente-nouvelle-campagne-ouvre-du-ahhhh-experience-unique-ressentie-lorsque-on-boit-coca-cola
Quel est le slogan français de Coca-Cola publié en 2006 ?	Prends la vie côté Coca‑Cola	https://www.coca-cola-france.fr/histoire/les-evenements-les-plus-marquants-de-l-histoire-de-coca-cola/les-slogans-coca-cola-au-fil-des-annees
Quel est le slogan français de Coca-Cola publié en 1963 ?	Les choses vont mieux avec un Coca‑Cola	https://www.coca-cola-france.fr/histoire/les-evenements-les-plus-marquants-de-l-histoire-de-coca-cola/les-slogans-coca-cola-au-fil-des-annees
Quel est le slogan français de Coca-Cola publié en 1929 ?	La pause qui rafraîchit	https://www.coca-cola-france.fr/histoire/les-evenements-les-plus-marquants-de-l-histoire-de-coca-cola/les-slogans-coca-cola-au-fil-des-annees
Décrire l'animal dénommé le tarsier.	C'est un petit singe avec de gros yeux.	https://fr.wikipedia.org/wiki/Tarsier
Compléter la phrase suivante. Le dugong est un mammifère marin surnommé ... .	La vache marine	https://fr.wikipedia.org/wiki/Dugong
Quelle est la particularité physique de la gazelle de Waller ?	Elle a un long cou.	https://en.wikipedia.org/wiki/Gerenuk
Quelle est la particularité physique de l'hétérocéphale ? (C'est un petit rongeur.)	Il est glabre.	https://fr.wikipedia.org/wiki/Rat-taupe_nu
Compléter la phrase suivante. La pieuvre Dumbo possède ... .	deux nageoires en forme d'oreilles	https://fr.wikipedia.org/wiki/Grimpoteuthis
Compléter la phrase suivante. Le poisson perroquet-bleu a sur la tête ... .	un point jaune qui s'estompe avec l'âge	https://fr.wikipedia.org/wiki/Scarus_coeruleus
Depuis 1313, au sein du parlement britannique, qu'est-il interdit de porter ?	Une armure	https://historycollection.com/40-unusual-laws-in-history
En 1898, quel activité fut interdite en Grande-Bretagne dans les bibliothèques ?	Les jeux d'argent	https://historycollection.com/40-unusual-laws-in-history
