question	answer	source
What is the name of Mickey Mouse in Italian?	Topolino	https://en.wikipedia.org/wiki/Topolino
What is the name of Donald Duck in Italian?	Paperino	https://it.wikipedia.org/wiki/Paperino
What is the name of the pokémon Charizard in French?	Dracaufeu	https://fr.wikipedia.org/wiki/Salam%C3%A8che_et_ses_%C3%A9volutions#Dracaufeu
What is the name of the pokémon Jigglypuff in German?	Pummeluff	https://www.pokewiki.de/Pummeluff
What is the name of the pokémon Blastoise in German?	Turtok	https://www.pokewiki.de/Turtok
What is the name of the pokémon Blastoise in French?	Tortank	https://www.pokepedia.fr/Tortank
What is the name of the pokémon Snorlax in French?	Ronflex	https://www.pokepedia.fr/Ronflex
What is the name of the pokémon Snorlax in German?	Relaxo	https://www.pokewiki.de/Relaxo
What is the name of the pokémon Meowth in French?	Miaouss	https://www.pokepedia.fr/Miaouss
What is the name of the pokémon Meowth in German?	Mauzi	https://www.pokewiki.de/Mauzi
What was the Coca-Cola slogan in 1929?	The pause that refreshes	https://en.wikipedia.org/wiki/List_of_Coca-Cola_slogans
What was the Coca-Cola slogan in 1952?	What you want is a Coke	https://en.wikipedia.org/wiki/List_of_Coca-Cola_slogans
What was the Coca-Cola slogan in 1989?	Official Soft Drink of Summer	https://en.wikipedia.org/wiki/List_of_Coca-Cola_slogans
What was in the U.S the Coca-Cola slogan in 2003?	Real	https://en.wikipedia.org/wiki/List_of_Coca-Cola_slogans
What was the U.S presidential campaign slogan of Franklin Roosevelt in 1936?	Forward with Roosevelt	https://en.wikipedia.org/wiki/List_of_U.S._presidential_campaign_slogans
What was one of the U.S presidential campaign slogan of John F Kennedy in 1960?	We Can Do Better	https://en.wikipedia.org/wiki/List_of_U.S._presidential_campaign_slogans
What was one the U.S presidential campaign slogan of Ronald Reagan in 1984?	It's Morning Again in America	https://en.wikipedia.org/wiki/List_of_U.S._presidential_campaign_slogans
What was one the U.S presidential campaign slogan of Bill Clinton in 1992?	For People, for a Change	https://en.wikipedia.org/wiki/List_of_U.S._presidential_campaign_slogans
What was one the U.S presidential campaign slogan of Bill Clinton in 1996?	Building a bridge to the twenty-first century	https://en.wikipedia.org/wiki/List_of_U.S._presidential_campaign_slogans
What was one the U.S presidential campaign slogan of Al Gore in 2000?	Leadership for the New Millennium	https://en.wikipedia.org/wiki/List_of_U.S._presidential_campaign_slogans
Describe the animal called tarsier.	It is a small monkey with big eyes.	https://en.wikipedia.org/wiki/Tarsier
What is one of the nicknames given to the marine mammal the dugong?	The sea cow	https://en.wikipedia.org/wiki/Dugong
What is the physical particularity of the generuk antelope?	Its long neck	https://en.wikipedia.org/wiki/Gerenuk
Describe a physical trait of the dumbo octopus.	It has a prominent ear-like fin above each eye.	https://en.wikipedia.org/wiki/Grimpoteuthis
Complete the following sentence. The blue parrotfish has on its head ... .	a yellow spot on its head that fades as it ages	https://en.wikipedia.org/wiki/Blue_parrotfish
What is illegal to wear in the UK parliament since 1313?	A suit of armor	https://historycollection.com/40-unusual-laws-in-history
In 1898, which activity was banned by the UK in libraries?	Gambling	https://historycollection.com/40-unusual-laws-in-history
In the australian state Victoria, which fun activity had been forbidden since 1966?	Flying a kite	https://historycollection.com/40-unusual-laws-in-history
What did the UK parliament ban in 1647?	Christmas	https://historycollection.com/40-unusual-laws-in-history
Complete the following sentence. Since the 19th century, it is illegal ... in Milan.	not to smile	https://historycollection.com/40-unusual-laws-in-history
How, in Mexico, did the mathematician Witold Hurewicz die?	He fell off the top of a Mayan step pyramid.	https://en.wikipedia.org/wiki/Witold_Hurewicz
Before becoming a cyclist, what sport did Primož Roglič practice professionally?	Ski jumping	https://en.wikipedia.org/wiki/Primo%C5%BE_Rogli%C4%8D
Complete the following sentence. In England, the Witchcraft Act of 1736 made it okay to be a witch, but illegal ... .	to pretend to be one	https://historycollection.com/40-unusual-laws-in-history
What was made illegal for a home in Swiss by a law in 1963?	Not to have access to a a nuclear shelter	https://historycollection.com/40-unusual-laws-in-history
What is the middle name ot the actor Macaulay Culkin?	Macaulay Culkin	https://en.wikipedia.org/wiki/Macaulay_Culkin#cite_note-2
What was special about the Madrid tennis open on clay in 2012?	The clay was blue.	https://en.wikipedia.org/wiki/2012_Mutua_Madrid_Open
The Colonel-in-Chief (ceremonial title) of the Norwegian Royal Guard is an animal. Which one?	A king penguin	https://en.wikipedia.org/wiki/Nils_Olav
What did Janissary officers wear in their headdress?	A spoon	https://en.wikipedia.org/wiki/Janissary
What is one nickname of Seatle?	The Emerald City	https://en.wikipedia.org/wiki/Seattle
Complete the following sentenece. Salvador Dali once drove a Rolls Royce stuffed to the roof with ... .	cauliflowers	https://culturalcocktailhour.wordpress.com/2011/07/29/salvador-dali-and-the-cauliflower-stuffed-rolls-royce
